1,虎牌5.0L三合一多功能萬用電火鍋,2
2,"郵政禮券2,000",3
3,Panasonic 國際牌 20L蒸氣烘烤爐 NU-SC180B-,1
4,"郵政禮券6,000",2
5,雀巢膠囊咖啡機-雀巢多趣酷思膠囊咖啡機 Genio S 簡約白,3
6,"郵政禮券2,000",3
7,虎牌5.0L三合一多功能萬用電火鍋,2
8,FUJI愛摩凳FG-367(黃),1
9,Air Pods 第三代,2
10,"郵政禮券6,000",3
11,Panasonic 國際牌 20L蒸氣烘烤爐 NU-SC180B-,2
12,"郵政禮券8,000",3
13,德國Oral-B PRO4 3D電動牙刷,3
14,dyson 戴森 Supersonic HD03 吹風機,1
15,"郵政禮券2,000",3
16,"郵政禮券6,000",3
17,"郵政禮券12,000",3
18,愛料理氣炸鍋(青綠色),2
19,dyson 戴森 Supersonic HD03 吹風機,1
20,挪威 mill 對流式電暖器 SG1500LED,2
21,FUJI愛摩凳FG-367(黃),1
22,Air Pods 第三代,3
23,"郵政禮券6,000",2
24,愛料理氣炸鍋(青綠色),3
25,德國Oral-B PRO4 3D電動牙刷,2
26,"郵政禮券12,000",2
27,SONY WH-1000XM4 無線藍牙降噪耳罩式耳機 (台灣公司貨),2
28,"郵政禮券2,000",3
29,【dyson 戴森】Purifier Hot+Cool Autoreact HP7A 三合一涼暖空氣清淨機(鎳白色 新品上市),1
30,"郵政禮券8,000",3
31,雀巢膠囊咖啡機-雀巢多趣酷思膠囊咖啡機 Genio S 簡約白,2
32,【Nintendo 任天堂】Switch電續加強藍紅主機+《健身環大冒險》,2
33,"郵政禮券2,000",2
34,SONY WH-1000XM4 無線藍牙降噪耳罩式耳機 (台灣公司貨),2
35,"郵政禮券12,000",2
36,【Nintendo 任天堂】Switch電續加強藍紅主機+《健身環大冒險》,2
37,dyson 戴森 Supersonic HD03 吹風機,1